id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11984115,Sunny 1 BR Apt in Bed Stuy,25810,Sasha,Brooklyn,Bedford-Stuyvesant,40.68521,-73.95089,Entire home/apt,75,5,7,2018-08-10,0.18,1,0
11950302,East Village Couch Crash 9PM-9AM,1212041,Michelle,Manhattan,East Village,40.72982,-73.98823,Shared room,75,1,4,2016-09-15,0.1,2,0
11871903,Cozy Bedroom on UWS steps to CPW !!,50032395,Wayne And Yesim,Manhattan,Upper West Side,40.80029,-73.96626,Private room,75,1,1,2016-03-28,0.03,2,188
11864530,Clean Room in a Renovated Apartment in Manhattan,45859087,Maya,Manhattan,Harlem,40.82403,-73.95379,Private room,75,20,18,2019-03-10,0.67,2,232
11750272,"""Off the Beaten Path"" NYC OASIS",25059970,Jeffrey And Anna Rita,Staten Island,Clifton,40.62375,-74.07373,Entire home/apt,75,5,81,2019-06-19,2.04,1,155
11605693,Noir Apartment in Chinatown - Private Room,61420312,Jay,Manhattan,Two Bridges,40.71222,-73.99566,Private room,75,2,25,2019-06-10,1.04,1,271
11532023,In the Heart of Williamsburg,60821050,Ashley,Brooklyn,Williamsburg,40.72005,-73.95677,Private room,75,1,1,2016-03-30,0.03,1,0
11481037,A slice of heaven on earth in NYC,60294559,Vidya,Manhattan,Midtown,40.75321,-73.97215,Shared room,75,1,2,2018-01-01,0.1,1,0
11453029,Cozy Groundfloor Apartment w/Garden,22169347,Laura,Brooklyn,Crown Heights,40.6758,-73.95578,Entire home/apt,75,4,6,2018-08-27,0.16,1,0
11411839,"sunny, cozy room near subway",18873268,Sandy,Brooklyn,Bedford-Stuyvesant,40.69586,-73.95026,Private room,75,5,3,2016-09-11,0.08,1,0
11282788,Gorgeous Brooklyn Master Bedroom,3925093,Nina,Brooklyn,Prospect Heights,40.68018,-73.96582,Entire home/apt,75,16,9,2016-12-26,0.24,1,0
11212414,"Spacious, Family-Friendly NYC Apt",58405281,Cristina,Manhattan,Harlem,40.82485,-73.93774,Entire home/apt,75,1,1,2016-02-21,0.02,1,0
11183878,Unique Duplex Loft in Gated Compound,20609201,Maurice,Brooklyn,Crown Heights,40.6774,-73.94888,Private room,75,3,29,2019-06-16,0.85,1,67
11153954,COZY STUDIO APARTMENT FOR 2 ♡,57995737,Remi O.,Manhattan,East Harlem,40.80586,-73.93861,Entire home/apt,75,5,2,2016-03-18,0.05,1,0
11020841,Sage - Charming 2 Room Studio #7,57186170,Deirdre,Brooklyn,Bedford-Stuyvesant,40.68366,-73.94607,Private room,75,2,129,2019-06-21,3.36,3,227
11014346,Big private room ~ 1 bed-1 person.,53051331,James  And  Mina,Brooklyn,Crown Heights,40.67156,-73.95684,Private room,75,2,13,2019-07-02,0.47,1,354
10697652,COZY Brooklyn Apartment 20 minutes to City,55270457,Karolina,Brooklyn,Bushwick,40.68696,-73.91382,Entire home/apt,75,2,179,2019-06-30,4.47,1,123
10684164,Private 1 Bdrm Apt - Prospect Park,19227044,Adam,Brooklyn,Flatbush,40.64945,-73.9624,Entire home/apt,75,7,1,2016-02-13,0.02,1,0
10682536,"Bright, central, prime Williamsburg",50296635,Siobhán,Brooklyn,Williamsburg,40.71455,-73.9618,Private room,75,2,3,2016-06-11,0.07,1,0
10682316,Spacious Sanctuary in Bushwick,8655790,Romany,Brooklyn,Bushwick,40.69887,-73.9227,Private room,75,20,1,2018-10-19,0.11,1,93
10636997,One Bedroom Beauty in Bushwick,54917558,Valeria,Brooklyn,Bushwick,40.68678,-73.90629,Entire home/apt,75,2,154,2019-06-29,4.04,1,15
10630048,Sunny modern oasis near THE Park,9273561,Nadine,Manhattan,East Harlem,40.79013,-73.94473,Private room,75,2,21,2016-09-19,0.5,1,0
10544439,Room in Soho Apartment,54375099,Rob,Manhattan,SoHo,40.72566,-74.00275,Private room,75,1,1,2016-03-13,0.02,1,0
10527142,Beautiful and Cozy Garden Level Brooklyn Townhouse,54282449,Michael,Brooklyn,Bedford-Stuyvesant,40.68449,-73.92773,Entire home/apt,75,1,38,2019-06-25,3.79,1,195
10512812,Bright central Manhattan bedroom,6429683,Andrew,Manhattan,Upper East Side,40.76278,-73.96638,Private room,75,1,89,2019-06-29,2.1,1,268
10390902,Cozy spot off L train - 20min>City,53495399,Blake,Brooklyn,Bushwick,40.70526,-73.91964,Private room,75,1,1,2016-03-24,0.02,1,0
10383284,Bushwick Suite,53411078,Caroline,Brooklyn,Bushwick,40.6863,-73.91365,Private room,75,1,1,2018-06-24,0.08,1,158
10246816,Charming Park Slope One+ Bedroom,22663500,Carrie,Brooklyn,South Slope,40.66622,-73.98357,Private room,75,5,1,2018-06-24,0.08,1,0
10135104,Nice And Clean Apartment.,14439022,Cristina,Manhattan,Harlem,40.82774,-73.94983,Private room,75,3,86,2019-07-01,2.01,1,224
10101791,Private Room for Rent,51839283,Ashley,Manhattan,Washington Heights,40.85064,-73.93833,Private room,75,1,1,2016-01-02,0.02,1,0
10036516,Small but warm and cozy. (^_^) Female Only Please.,51520983,Jeannette,Manhattan,East Harlem,40.80681,-73.93956,Private room,75,3,4,2016-10-19,0.09,1,0
10013750,Beautiful Garden Rooms In Lower East Side,20222376,Olya,Manhattan,Lower East Side,40.71814,-73.99166,Private room,75,10,17,2019-06-19,0.46,1,128
9999939,1 bd available in 3bd apt in UWS,51371360,Minoo,Manhattan,Upper West Side,40.78347,-73.97748,Private room,75,2,2,2016-11-26,0.05,1,0
9967218,"Large, Open, Beautiful Apartment",7461203,Christopher,Brooklyn,Clinton Hill,40.68715,-73.96433,Entire home/apt,75,3,4,2016-09-26,0.09,1,0
9953403,Marc Alfred,2361525,Marc,Brooklyn,Crown Heights,40.67565,-73.91582,Shared room,75,1,2,2019-04-06,0.19,1,318
9944415,Clean and Cozy BedStuy Apt,47060168,Serik,Brooklyn,Bedford-Stuyvesant,40.69345,-73.93304,Entire home/apt,75,7,2,2016-02-27,0.05,1,0
9819545,Huge Space in E. Williamsburg Apt.,22159648,Sinat,Brooklyn,Williamsburg,40.70657,-73.94234,Private room,75,1,2,2019-01-02,0.21,2,0
9795890,Room in a loft in Tribeca,23372553,Valentine,Manhattan,Tribeca,40.71561,-74.00642,Private room,75,1,1,2015-12-27,0.02,1,0
9785847,Heart of Williamsburg 1 BD,42424450,Tyler,Brooklyn,Williamsburg,40.71988,-73.95591,Private room,75,2,1,2015-12-31,0.02,1,0
9778583,Private room in HUGE Apartment!,34351124,Rebekah,Brooklyn,Bedford-Stuyvesant,40.68768,-73.92069,Private room,75,1,1,2016-01-03,0.02,1,0
9770459,Private room in Bed Stuy brownstone,49293531,Aliza,Brooklyn,Bedford-Stuyvesant,40.68124,-73.94188,Private room,75,14,18,2019-06-30,0.5,3,189
9745297,Big Bedroom in Huge Loft Apartment,18830662,Jack,Manhattan,SoHo,40.72051,-74.00168,Private room,75,1,1,2015-12-17,0.02,2,0
9740264,Bright Studio in Harlem Near Trains,11462920,Ijeoma,Manhattan,Harlem,40.81788,-73.93583,Entire home/apt,75,2,19,2016-06-14,0.44,1,0
9738193,Private Room in Gorgeous Loft Space,30968452,Ellen,Brooklyn,Bushwick,40.68881,-73.92017,Private room,75,3,5,2018-01-02,0.12,1,365
9616453,Room next to Columbia University,49753169,Juan Luis,Manhattan,Morningside Heights,40.80838,-73.95995,Private room,75,2,1,2016-01-06,0.02,1,0
9607995,Cozy 3 BD in NYC's East Village,45100854,Will & Tash,Manhattan,East Village,40.72401,-73.98061,Private room,75,5,4,2017-02-22,0.09,2,0
9577968,Cozy BR | Private Floor & Terrace,3389541,Tal,Brooklyn,Crown Heights,40.67859,-73.96076,Private room,75,1,117,2019-06-24,2.82,1,96
9571665,Brightly Tucked into Williamsburg,1401835,Danielle,Brooklyn,Williamsburg,40.71032,-73.95482,Private room,75,3,17,2019-06-09,0.49,3,355
9484892,"Cozy, E.Vill room w/ private bath!",13667539,Brian,Manhattan,East Village,40.72145,-73.97881,Private room,75,1,2,2016-01-01,0.05,1,0
9461669,Centrally Located Bedroom with Private Garden,29518662,Jennifer,Brooklyn,Park Slope,40.68182,-73.97704,Private room,75,3,14,2019-04-04,0.33,1,352
9414317,Cozy Private Room in 2 bedroom APT,48811662,Kelly,Brooklyn,Prospect-Lefferts Gardens,40.65837,-73.96115,Private room,75,3,67,2019-06-09,1.52,1,296
9334185,Trendy but cozy private bdrm & bath,48249473,Marisol,Bronx,Kingsbridge,40.87842,-73.9029,Private room,75,1,59,2019-06-23,1.45,2,354
9316528,Spacious Room in Beautiful Apartment in Brooklyn!,48356150,Tomas,Brooklyn,Bedford-Stuyvesant,40.68465,-73.91528,Private room,75,14,3,2018-07-15,0.13,1,0
9310959,"Cozy, 1 bedroom Brownstone Apt",7065964,Ashley,Brooklyn,Crown Heights,40.66722,-73.948,Entire home/apt,75,2,161,2019-06-28,3.65,1,183
9248239,Private Room in Williamsburg Loft,48057837,Diana,Brooklyn,Williamsburg,40.71914,-73.96477,Private room,75,1,2,2015-12-28,0.05,1,0
9240606,"Sunny, Book-Filled Room in Carroll Gardens",14078910,Andy,Brooklyn,Carroll Gardens,40.68172,-73.99358,Private room,75,2,42,2018-06-06,0.96,1,0
9201458,Gorgeous bedroom near Central Park,13794250,Jackie,Manhattan,Upper West Side,40.78107,-73.97817,Private room,75,5,1,2015-11-21,0.02,1,0
9185696,Excellent 1 Bedroom Apt. in Queens,47790995,Harman,Queens,Queens Village,40.71846,-73.75584,Entire home/apt,75,5,85,2019-05-25,1.9,1,332
9171140,Private Room PRIME Williamsburg!!,12986471,Grayson,Brooklyn,Williamsburg,40.71984,-73.9588,Private room,75,1,1,2015-11-25,0.02,1,0
9132614,Room in the heart of Williamsburg,9870919,Sebastian,Brooklyn,Williamsburg,40.71253,-73.96023,Private room,75,4,2,2017-07-07,0.04,1,0
9110077,Room in East Williamsburg,19885346,Mireia,Brooklyn,Williamsburg,40.70448,-73.94208,Private room,75,3,6,2016-08-16,0.16,1,0
9107846,UWS Lovely NYC Home - Private Entry&Bath,6509584,Lila,Manhattan,Upper West Side,40.80059,-73.96552,Entire home/apt,75,1,123,2019-07-01,2.89,1,80
9080286,Quiet room close to subway.,47353889,Marcelo,Brooklyn,Prospect Heights,40.67939,-73.97126,Private room,75,4,40,2016-09-30,0.89,1,0
9078632,Private room in Manhattan,42570179,Joanne,Manhattan,Washington Heights,40.83559,-73.94552,Private room,75,2,53,2018-06-29,1.18,1,0
9074702,Private Room Downtown,260958,Aura,Manhattan,Lower East Side,40.71334,-73.99025,Private room,75,1,91,2018-10-08,2.07,3,0
9048630,Upper Manhattan Inwood - Beautiful,47212879,Mary,Manhattan,Inwood,40.86703,-73.93007,Private room,75,3,1,2016-07-08,0.03,1,89
8990988,The Most Happening Hood in BK!,9060143,Amelia,Brooklyn,Bushwick,40.69502,-73.93126,Entire home/apt,75,3,6,2017-08-29,0.15,1,0
8951315,Cozy (2) bedrooms in Brooklyn NYC.,46786142,Janet & Vincent,Brooklyn,East Flatbush,40.65012,-73.94056,Private room,75,1,15,2018-10-08,0.33,1,355
8844402,Cozy room in the Heart of Astoria,45232769,Nadir,Queens,Astoria,40.76628,-73.91761,Private room,75,2,94,2019-07-07,2.08,3,35
8775344,Private spacious master bedroom,4205149,La,Brooklyn,Crown Heights,40.67869,-73.95498,Private room,75,1,1,2015-10-27,0.02,1,0
8719984,Charming STUDIO w/ PATIO MIDTOWN,42788011,Ambria,Manhattan,Kips Bay,40.74279,-73.97833,Entire home/apt,75,1,4,2017-07-02,0.09,1,0
8681776,"20 Mins to Manhattan, 7 mins LGA",17794638,Burak,Queens,Ditmars Steinway,40.77442,-73.91465,Private room,75,2,4,2016-10-01,0.12,1,0
8664615,Stylish Astoria Apartment,45446889,Justin,Queens,Astoria,40.76707,-73.91473,Entire home/apt,75,3,1,2016-08-31,0.03,1,0
8664611,Affordable Luxury Minutes to Manhattan,45519775,Ayman,Staten Island,Randall Manor,40.62859,-74.12272,Entire home/apt,75,2,131,2019-07-02,2.85,1,310
8593656,SMALL AND COZY PARISIAN STYLE APT IN EAST HARLEM,45226022,Caroline,Manhattan,East Harlem,40.79802,-73.94003,Private room,75,4,162,2019-06-23,3.55,1,60
8499719,"Huge Room, Safe Neighborhood,Near Manhattan",3501090,Sebastian & Andrea,Queens,Astoria,40.76404,-73.91174,Private room,75,4,86,2019-06-18,1.88,1,324
8473623,"Large, sunny Williamsburg room",5803786,Bailey,Brooklyn,Williamsburg,40.70727,-73.94025,Private room,75,2,1,2015-09-28,0.02,1,0
8386889,Penthouse Floor Room in Luxury Apt,44193702,Dylan,Manhattan,East Village,40.72137,-73.97786,Private room,75,1,5,2015-10-29,0.11,1,0
8308683,Couples' Nest.,10129919,Jorge,Brooklyn,Cypress Hills,40.68537,-73.8775,Entire home/apt,75,3,160,2019-06-20,3.44,2,256
8269681,Sunny Clean Bedroom,43601551,Anamaria & Ricardo,Manhattan,East Harlem,40.78987,-73.94883,Private room,75,2,13,2019-01-02,0.28,2,325
8222951,Artsy Studio near The Brooklyn Museum,19379151,David,Brooklyn,Crown Heights,40.6766,-73.95987,Entire home/apt,75,3,21,2019-04-08,1.06,1,0
8190747,cozy apartment,43203249,Gina,Queens,Woodside,40.74715,-73.91104,Private room,75,7,1,2017-03-19,0.04,1,364
8115423,Private Room close to subway (2/3),40874834,Esteban,Queens,Jackson Heights,40.75548,-73.86632,Private room,75,1,102,2019-06-23,2.21,3,362
8115321,Private Room close to subway (1/3),40874834,Esteban,Queens,Jackson Heights,40.75526,-73.86468,Private room,75,1,114,2019-06-17,2.45,3,328
8069765,Brooklyn Jeff L Huge Room and yard!,42623155,Edward,Brooklyn,Bushwick,40.70343,-73.92538,Private room,75,10,1,2015-09-16,0.02,1,0
7988411,Heart of Greenwich Village!,276042,Kathleen,Manhattan,Greenwich Village,40.72913,-74.00074,Private room,75,1,32,2019-01-01,1.63,1,0
7939788,Apt. with yard near Central Park,26297795,Jesse,Manhattan,East Harlem,40.79025,-73.9482,Private room,75,1,5,2016-06-28,0.11,1,0
7919372,Cozy & Clean #6,23533897,Fatou,Brooklyn,Crown Heights,40.67568,-73.95124,Private room,75,1,38,2019-06-16,1.12,7,322
7915596,"Large, Bright NYC Room Near Trains",2339049,Arianna & Z,Brooklyn,Bushwick,40.69919,-73.93818,Private room,75,2,226,2019-06-10,4.78,2,128
7841904,Modern Private Room in Meatpacking,24976518,Mike,Manhattan,West Village,40.74005,-74.00466,Private room,75,3,4,2017-01-02,0.09,1,0
7837685,Bright bedroom with private bathroom,41007099,Romina,Brooklyn,Crown Heights,40.66855,-73.92945,Private room,75,10,12,2019-05-21,0.26,1,0
7835470,"Spacious, 2 Bedroom Bed Stuy home",2682346,Seema N James,Brooklyn,Bedford-Stuyvesant,40.6891,-73.93926,Entire home/apt,75,2,4,2016-06-27,0.08,1,0
7824945,Small Room on the Upper West Side,37138145,C,Manhattan,Upper West Side,40.80111,-73.96539,Private room,75,1,205,2019-07-03,4.32,2,197
7808565,Room w Private Bath in Brooklyn,6947307,Charles,Brooklyn,Williamsburg,40.70497,-73.94194,Private room,75,1,1,2015-09-07,0.02,1,0
7807454,Ideal Downtown Brooklyn 1 Bedroom,16853124,James,Brooklyn,Boerum Hill,40.68671,-73.98541,Entire home/apt,75,1,2,2015-09-30,0.04,1,0
7798327,Private bedroom in Lower East Side,41046343,Brian,Manhattan,Lower East Side,40.72235,-73.98769,Private room,75,1,1,2015-09-04,0.02,1,0
7770735,Private Room close to subway (3/3),40874834,Esteban,Queens,Jackson Heights,40.75421,-73.86435,Private room,75,1,96,2019-06-22,2.06,3,339
7725573,Huge Private Bedroom in Harlem Apt,10872717,Mala,Manhattan,Harlem,40.81469,-73.94887,Private room,75,1,1,2016-03-31,0.03,1,0
7713509,"Brooklyn, Clinton Hill, Private rm",12303720,Cameron,Brooklyn,Clinton Hill,40.68405,-73.96681,Private room,75,3,2,2015-09-14,0.04,1,0
7711161,Large and Sunny room in Downtown NY,3737483,Miguel,Manhattan,Chinatown,40.71382,-73.99769,Private room,75,6,2,2016-04-30,0.05,1,0
7563487,Great private room open for Aug!!,3353772,Jackie,Brooklyn,Williamsburg,40.70889,-73.94113,Private room,75,1,1,2015-08-04,0.02,1,0
7555693,Clean White Room overlooking Bridge & River,39603420,Graham,Manhattan,Harlem,40.82652,-73.95304,Private room,75,1,151,2019-05-30,3.17,1,0
7542840,Room in Upper West Side Manhattan,31799541,Eugene,Manhattan,Upper West Side,40.79452,-73.97065,Private room,75,1,12,2017-02-19,0.27,1,0
7535450,Upper East Side private bedroom near Central Park,39480845,Jen,Manhattan,East Harlem,40.79042,-73.94641,Private room,75,4,37,2017-03-04,0.77,1,0
7508560,Beautiful and Convenient,39335488,Mirlande,Manhattan,East Harlem,40.81211,-73.9378,Private room,75,3,134,2019-06-02,2.88,1,90
7438743,Spacious Studio Room with Beautiful view NYC,38840706,Lance,Queens,Flushing,40.76735,-73.81801,Private room,75,1,28,2018-01-01,0.6,1,363
7386119,"Large, sunny, quiet, 2 bed apt",12517331,Robert,Brooklyn,Prospect Heights,40.67876,-73.9715,Entire home/apt,75,1,4,2015-11-28,0.08,1,0
7381038,South Slope Modern + Spacious with Outdoor Deck,16283468,Philip,Brooklyn,Sunset Park,40.66196,-73.99177,Private room,75,1,113,2019-06-18,2.33,2,233
7240002,Nice and Perfect Location Studio,14905080,Justin You,Manhattan,Morningside Heights,40.80569,-73.96058,Entire home/apt,75,25,1,2015-09-04,0.02,1,0
7144379,Sunny bedroom in the heart of LES,34582356,Christina,Manhattan,Lower East Side,40.71754,-73.99025,Private room,75,1,1,2015-07-09,0.02,1,0
7132891,Bohemian & Chic Apartment.,23988743,Rachid,Brooklyn,Bushwick,40.69319,-73.92375,Private room,75,2,22,2019-06-04,0.46,1,362
7017768,W.B. Spacious Contemporary Living 3,36164182,Glender,Brooklyn,Bushwick,40.6969,-73.93435,Private room,75,2,46,2019-05-07,0.94,3,256
6992300,Tranquility On Riverside,24530713,Byron,Manhattan,Harlem,40.82416,-73.95306,Private room,75,1,11,2019-05-29,0.25,3,332
6988794,Private Room in large 2 bedroom apt,36641477,David,Queens,Forest Hills,40.724,-73.84962,Private room,75,3,1,2015-08-31,0.02,1,0
6933326,STUNNING NYC ROOM RIVER VIEW/LIGHT!,25168888,Svjetlana,Manhattan,Harlem,40.82231,-73.95626,Private room,75,3,14,2019-01-02,0.29,3,20
6913795,Nevena's,10716661,Dimitrios,Queens,Ditmars Steinway,40.77228,-73.91345,Entire home/apt,75,3,2,2016-01-31,0.04,1,0
6885805,Private room in South Williamsburg,5743711,Frasier,Brooklyn,Williamsburg,40.70748,-73.95503,Private room,75,2,2,2015-10-11,0.04,1,0
6880990,En suite room  Upper West Side,36055888,Ryan,Manhattan,Harlem,40.83019,-73.94991,Private room,75,2,1,2015-07-26,0.02,1,0
6795657,Beautiful newly renovated apartment,33622924,Besinfe,Manhattan,Harlem,40.83174,-73.94686,Private room,75,1,134,2019-06-30,3.13,4,354
6784378,Large Room & Own Bath by train,7788268,Marites,Brooklyn,Prospect-Lefferts Gardens,40.65894,-73.95947,Private room,75,2,10,2018-05-07,0.22,1,52
6766259,Lovely & Cozy Room Heart of Astoria,35423181,Cidinha,Queens,Astoria,40.7665,-73.91759,Private room,75,1,10,2018-10-07,0.22,1,357
6760295,"Sunny, couple-friendly MasterBedroom in Greenpoint",12432739,Monica,Brooklyn,Greenpoint,40.73511,-73.95551,Private room,75,7,1,2016-11-15,0.03,1,0
6662487,Beautiful & Private Manhattan Room,34874378,Jessica,Manhattan,Harlem,40.82398,-73.94846,Private room,75,1,59,2017-09-15,1.19,2,0
6612664,Great BedRoom in Hell's Kitchen,1797304,Marg,Manhattan,Hell's Kitchen,40.7617,-73.99244,Private room,75,5,53,2019-06-26,1.34,1,239
6570517,Comfy Room Close the Subway ABCD&1!,4534649,L & A,Manhattan,Harlem,40.8179,-73.9539,Private room,75,2,52,2017-03-08,1.04,3,0
6550596,Studio-Heart of Harlem****,34262042,Jodil H.,Manhattan,Harlem,40.81781,-73.9347,Entire home/apt,75,2,15,2018-12-19,0.32,1,0
6487196,Huge&Bright Room in Greenwich Vill.,3263765,Shef,Manhattan,Greenwich Village,40.72986,-73.99468,Private room,75,2,4,2015-11-02,0.08,1,0
6437347,Cosy Williamsburg,7108862,Estelle,Brooklyn,Williamsburg,40.7103,-73.96622,Private room,75,4,2,2015-06-13,0.04,1,0
6437262,"Cozy private room, close to the subway & beach",33605594,Misha,Brooklyn,Sheepshead Bay,40.59225,-73.95026,Private room,75,1,8,2019-05-15,0.26,1,311
6391465,Room in Condo,33323743,Coral,Brooklyn,Crown Heights,40.67371,-73.92743,Private room,75,1,5,2019-01-01,0.55,1,65
6384560,Sublet in Furnished Master Bedroom,4233168,Kim,Brooklyn,Prospect-Lefferts Gardens,40.65628,-73.95753,Private room,75,1,1,2015-07-10,0.02,1,0
6360639,The city cabin,3320288,Jerry,Queens,Ridgewood,40.70365,-73.90351,Entire home/apt,75,1,52,2019-06-08,1.78,1,317
6359266,"1 Train, Delis, Duane Read,Eat Outs",33128992,Sundar,Manhattan,Morningside Heights,40.81444,-73.95863,Private room,75,1,1,2015-05-18,0.02,1,0
6334492,Spacious PRIVATE Room on Brighton Beach,27295569,Michael,Brooklyn,Brighton Beach,40.57679,-73.96016,Private room,75,1,127,2019-06-30,2.54,2,247
6313624,Small Room in Beautiful Apartment/Building,9864136,Anthony,Manhattan,Kips Bay,40.74253,-73.98006,Private room,75,30,1,2018-12-07,0.14,26,345
6259928,Private Bedroom in St. Marks Place,31405259,Oliver,Manhattan,East Village,40.72745,-73.98362,Private room,75,6,3,2017-01-07,0.06,1,0
6201914,"Plush King Size Bed, Great Location",9671470,Jacob,Manhattan,Harlem,40.81422,-73.95199,Private room,75,2,129,2019-06-22,3.01,2,6
6187204,Chinatown/Lower East Side Room,32092775,Jess,Manhattan,Chinatown,40.71546,-73.99226,Private room,75,4,23,2018-11-18,0.45,1,212
6106142,Studio Apartment/ 3 blocks from Central park,2077383,Tatiana,Manhattan,Upper East Side,40.77724,-73.95883,Entire home/apt,75,3,3,2016-06-14,0.06,1,0
6104187,Cute Studio close to subway for monthly rental,31673092,Ayal,Brooklyn,Crown Heights,40.67757,-73.94886,Entire home/apt,75,30,101,2019-06-08,2.06,1,62
6072842,Convenient and cozy space!,31522185,Dimitri,Queens,Astoria,40.76602,-73.91742,Shared room,75,5,4,2016-08-28,0.08,1,0
6054400,Cozy Brooklyn Apartment,18874199,Alina,Brooklyn,Greenpoint,40.73629,-73.95208,Entire home/apt,75,1,27,2015-10-05,0.53,1,0
5940868,Sunlit Gem in Happening Greenpoint,2862308,Auran,Brooklyn,Greenpoint,40.72777,-73.95231,Entire home/apt,75,2,6,2017-01-04,0.14,1,0
5846050,Cozy Harlem Stay,22534207,Jemar,Manhattan,East Harlem,40.80906,-73.93686,Private room,75,2,45,2019-06-03,0.94,1,123
5845124,Beautiful Astoria Apartment,30346554,Kristin,Queens,Astoria,40.76956,-73.91787,Private room,75,2,6,2016-06-06,0.12,1,0
